,gamma,v,tau,s,part
0,0.9997908195048966,1.0008229677782052,1.0002826051111369,1.000399457853865,0
1,1.0000246106563038,1.001479470021802,1.000514940763058,1.000107853316578,1
2,1.0029297022963404,1.0036175045083753,1.0046725158149754,1.0024966520802134,2
3,1.0072368843832482,1.0010065082230388,1.0280517202827175,1.0007666440376055,3
4,1.000549564110276,1.0021242579090959,1.000347451701434,1.000501123653578,4
5,1.0003993798509392,1.0024508233329006,1.0007656526864577,1.000698266839166,5
6,1.0009044640586473,1.0025825368661148,1.0007298919387437,1.001819476534858,6
7,1.0045356163534234,1.0015916932092783,1.0043760646072695,1.0027861391312025,7
8,1.0033028662597179,1.017473760429954,1.0081967855681966,1.082449059067244,8
9,1.0015985380102737,1.0007095554718612,1.0005860194808043,1.000324710442975,9
10,1.0008236505005312,1.0015236387781417,1.018603165206791,1.0006834839326633,10
11,1.0018666344296787,1.000869291506294,1.0003253456152579,1.0010463054035519,11
12,1.5519681805528205,1.0288913551655454,1.0722546816631682,1.3813675197720132,12
13,0.9999580407635738,1.0036972904783306,1.0008548750901354,1.000434000393587,13
14,1.0001842570919892,1.0006425027891324,1.000904045668056,1.0004046921894734,14
15,1.0012178665008276,1.0034435938027684,1.0026704641817448,1.0000049011586845,15
16,1.0009270723708654,1.0018098206462873,1.0008585002909132,1.0004264674560448,16
17,1.0008685480886859,1.0020913313710302,1.0019779901662447,1.0003485073094682,17
18,1.0023497405154438,1.0004787396207135,1.0010022535536616,0.9997207506016655,18
19,0.9999046053540008,1.000549075725034,1.0018477320573065,1.0016113671520035,19
20,1.0000271281589026,1.001128439974049,1.000384274818906,1.0002684024967714,20
21,1.0005332711514037,1.0043901077228232,1.002414450484181,1.000229368546714,21
22,1.0010043151594321,1.0004391897211293,1.001636127886393,1.0016662256939568,22
23,0.9999614861281564,1.0006122334481902,1.0011945983220718,1.0003862628758793,23
24,1.0016518458248964,1.0013510206176532,1.00042490894738,1.000055707880707,24
25,1.001783250995021,1.0022486862558349,1.0010823030248193,1.000790637959789,25
26,1.0024866227147746,1.0008652681710843,1.0007928044643533,1.0003668739626599,26
27,1.0003579941285272,1.0003528535624073,1.0024510406385458,1.0003578407515596,27
28,1.0112131573883565,1.0034138462677584,1.0032889591898149,1.0038374026336339,28
29,1.0033953872147503,1.003020082599456,1.001634957261108,1.0004573713206695,29
30,1.0007642527610061,1.0008181514324264,1.0009986535600353,1.000898166478235,30
31,0.9995694112935769,1.0007638177336713,1.0007418607841538,1.0003748093895035,31
